dataset,id,rel_kind,n,n_bound,pct_bound
data_source_3,CelO,association,8,7,87.5
data_source_3,CelO,directed,0,0,0.0
data_source_3,CelO,inheritance,2,0,0.0
data_source_3,CelO,composition,0,0,0.0
data_source_3,CelO,aggregation,0,0,0.0
data_source_3,CelO,dependency,0,0,0.0
data_source_3,CelO,association_class,1,1,100.0
data_source_3,ClothingCompany,association,8,5,62.5
data_source_3,ClothingCompany,directed,0,0,0.0
data_source_3,ClothingCompany,inheritance,0,0,0.0
data_source_3,ClothingCompany,composition,0,0,0.0
data_source_3,ClothingCompany,aggregation,0,0,0.0
data_source_3,ClothingCompany,dependency,0,0,0.0
data_source_3,ClothingCompany,association_class,0,0,0.0
data_source_3,Cruise,association,9,5,55.56
data_source_3,Cruise,directed,0,0,0.0
data_source_3,Cruise,inheritance,0,0,0.0
data_source_3,Cruise,composition,0,0,0.0
data_source_3,Cruise,aggregation,0,0,0.0
data_source_3,Cruise,dependency,0,0,0.0
data_source_3,Cruise,association_class,0,0,0.0
data_source_3,DestroyBlockGame,association,10,10,100.0
data_source_3,DestroyBlockGame,directed,1,1,100.0
data_source_3,DestroyBlockGame,inheritance,0,0,0.0
data_source_3,DestroyBlockGame,composition,8,6,75.0
data_source_3,DestroyBlockGame,aggregation,0,0,0.0
data_source_3,DestroyBlockGame,dependency,0,0,0.0
data_source_3,DestroyBlockGame,association_class,0,0,0.0
data_source_3,EUScienceConnect,association,7,6,85.71
data_source_3,EUScienceConnect,directed,0,0,0.0
data_source_3,EUScienceConnect,inheritance,2,2,100.0
data_source_3,EUScienceConnect,composition,0,0,0.0
data_source_3,EUScienceConnect,aggregation,0,0,0.0
data_source_3,EUScienceConnect,dependency,0,0,0.0
data_source_3,EUScienceConnect,association_class,0,0,0.0
data_source_3,Ebike,association,0,0,0.0
data_source_3,Ebike,directed,8,6,75.0
data_source_3,Ebike,inheritance,2,2,100.0
data_source_3,Ebike,composition,0,0,0.0
data_source_3,Ebike,aggregation,0,0,0.0
data_source_3,Ebike,dependency,0,0,0.0
data_source_3,Ebike,association_class,0,0,0.0
data_source_3,Facepage,association,6,6,100.0
data_source_3,Facepage,directed,0,0,0.0
data_source_3,Facepage,inheritance,4,4,100.0
data_source_3,Facepage,composition,0,0,0.0
data_source_3,Facepage,aggregation,0,0,0.0
data_source_3,Facepage,dependency,0,0,0.0
data_source_3,Facepage,association_class,0,0,0.0
data_source_3,FilmSet,association,9,8,88.89
data_source_3,FilmSet,directed,0,0,0.0
data_source_3,FilmSet,inheritance,4,3,75.0
data_source_3,FilmSet,composition,0,0,0.0
data_source_3,FilmSet,aggregation,0,0,0.0
data_source_3,FilmSet,dependency,0,0,0.0
data_source_3,FilmSet,association_class,1,0,0.0
data_source_3,FitnessCompanyConan,association,5,5,100.0
data_source_3,FitnessCompanyConan,directed,0,0,0.0
data_source_3,FitnessCompanyConan,inheritance,4,3,75.0
data_source_3,FitnessCompanyConan,composition,0,0,0.0
data_source_3,FitnessCompanyConan,aggregation,0,0,0.0
data_source_3,FitnessCompanyConan,dependency,0,0,0.0
data_source_3,FitnessCompanyConan,association_class,0,0,0.0
data_source_3,GameArea,association,1,1,100.0
data_source_3,GameArea,directed,1,0,0.0
data_source_3,GameArea,inheritance,3,1,33.33
data_source_3,GameArea,composition,0,0,0.0
data_source_3,GameArea,aggregation,2,2,100.0
data_source_3,GameArea,dependency,0,0,0.0
data_source_3,GameArea,association_class,0,0,0.0
data_source_3,GasStation_KUL,association,7,6,85.71
data_source_3,GasStation_KUL,directed,0,0,0.0
data_source_3,GasStation_KUL,inheritance,0,0,0.0
data_source_3,GasStation_KUL,composition,0,0,0.0
data_source_3,GasStation_KUL,aggregation,0,0,0.0
data_source_3,GasStation_KUL,dependency,0,0,0.0
data_source_3,GasStation_KUL,association_class,0,0,0.0
data_source_3,GasStation_TUW,association,6,6,100.0
data_source_3,GasStation_TUW,directed,0,0,0.0
data_source_3,GasStation_TUW,inheritance,0,0,0.0
data_source_3,GasStation_TUW,composition,0,0,0.0
data_source_3,GasStation_TUW,aggregation,0,0,0.0
data_source_3,GasStation_TUW,dependency,0,0,0.0
data_source_3,GasStation_TUW,association_class,0,0,0.0
data_source_3,HelpingHands,association,7,4,57.14
data_source_3,HelpingHands,directed,0,0,0.0
data_source_3,HelpingHands,inheritance,5,1,20.0
data_source_3,HelpingHands,composition,0,0,0.0
data_source_3,HelpingHands,aggregation,0,0,0.0
data_source_3,HelpingHands,dependency,0,0,0.0
data_source_3,HelpingHands,association_class,0,0,0.0
data_source_3,HomeForTheElderly,association,10,9,90.0
data_source_3,HomeForTheElderly,directed,0,0,0.0
data_source_3,HomeForTheElderly,inheritance,0,0,0.0
data_source_3,HomeForTheElderly,composition,0,0,0.0
data_source_3,HomeForTheElderly,aggregation,0,0,0.0
data_source_3,HomeForTheElderly,dependency,0,0,0.0
data_source_3,HomeForTheElderly,association_class,0,0,0.0
data_source_3,HospitalHouseMD,association,6,5,83.33
data_source_3,HospitalHouseMD,directed,0,0,0.0
data_source_3,HospitalHouseMD,inheritance,0,0,0.0
data_source_3,HospitalHouseMD,composition,0,0,0.0
data_source_3,HospitalHouseMD,aggregation,0,0,0.0
data_source_3,HospitalHouseMD,dependency,0,0,0.0
data_source_3,HospitalHouseMD,association_class,0,0,0.0
data_source_3,HotelBookingManagementSystem,association,6,6,100.0
data_source_3,HotelBookingManagementSystem,directed,0,0,0.0
data_source_3,HotelBookingManagementSystem,inheritance,5,2,40.0
data_source_3,HotelBookingManagementSystem,composition,11,11,100.0
data_source_3,HotelBookingManagementSystem,aggregation,0,0,0.0
data_source_3,HotelBookingManagementSystem,dependency,0,0,0.0
data_source_3,HotelBookingManagementSystem,association_class,0,0,0.0
data_source_3,House,association,4,4,100.0
data_source_3,House,directed,0,0,0.0
data_source_3,House,inheritance,5,5,100.0
data_source_3,House,composition,0,0,0.0
data_source_3,House,aggregation,0,0,0.0
data_source_3,House,dependency,0,0,0.0
data_source_3,House,association_class,0,0,0.0
data_source_3,Kinepolis,association,15,13,86.67
data_source_3,Kinepolis,directed,0,0,0.0
data_source_3,Kinepolis,inheritance,0,0,0.0
data_source_3,Kinepolis,composition,0,0,0.0
data_source_3,Kinepolis,aggregation,0,0,0.0
data_source_3,Kinepolis,dependency,0,0,0.0
data_source_3,Kinepolis,association_class,0,0,0.0
data_source_3,LabTracker,association,9,8,88.89
data_source_3,LabTracker,directed,0,0,0.0
data_source_3,LabTracker,inheritance,2,0,0.0
data_source_3,LabTracker,composition,0,0,0.0
data_source_3,LabTracker,aggregation,0,0,0.0
data_source_3,LabTracker,dependency,0,0,0.0
